Response,pH,DissOxy,WellClass,Aquifier,Depth,Distance
0,7.87,0.58,"Private","Bedrock","60.96",2386.29
0,8.63,0.84,"Private","Bedrock","36.576",3667.69
0,7.11,8.37,"Private","Bedrock","152.4",2324.15
0,7.98,0.41,"Private","Bedrock","*",788.88
0,7.88,1.44,"Private","Bedrock","91.44",1337.88
0,8.36,0.18,"Private","Bedrock","115.824",2396.74
1,6.92,1.85,"Private","Bedrock","92.964",1425.59
0,7.15,6.16,"Private","Bedrock","85.344",2053.95
1,7.55,3.93,"Private","Bedrock","*",1672.33
0,6.25,7.14,"Private","Bedrock","48.768",1374.62
1,6.81,0.31,"Private","Bedrock","40.843",1212.42
0,7.02,1.54,"Private","Bedrock","*",564.99
0,8.52,0.22,"Private","Bedrock","126.492",1530.39
0,6.39,1.82,"Private","Bedrock","76.2",1402.41
1,7.37,1.52,"Private","Bedrock","91.44",2345.26
0,7.55,3.03,"Private","Bedrock","*",2319.45
0,8.14,0.59,"Private","Bedrock","92.964",2652
0,7.36,0.41,"Private","Bedrock","*",2079.43
0,7.95,0.5,"Private","Bedrock","36.576",1289.45
0,8.1,0.3,"Private","Bedrock","55.778",704.54
0,6.91,4.73,"Private","Bedrock","*",534.73
1,7.56,0.51,"Private","Bedrock","42.672",1953.26
0,7.15,3.43,"Private","Bedrock","159.41",3073.95
0,7.82,2,"Private","Bedrock","*",3758.84
0,8.67,2.45,"Private","Bedrock","115.824",852.4
0,7.17,4.31,"Private","Bedrock","76.2",1846.88
0,8.49,8,"Private","Bedrock","*",2761.02
0,7.15,0.34,"Private","Bedrock","54.864",3660.18
0,8.12,0.36,"Private","Bedrock","91.44",4464.04
0,8.48,0.1,"Private","Bedrock","137.16",4326.18
0,7.07,2.95,"Private","Bedrock","43.282",1748.02
1,7.87,3.29,"Private","Bedrock","103.632",1643.68
0,9.46,7.76,"Private","Bedrock","129.235",3060.33
0,8.66,1,"Private","Bedrock","*",1891.51
1,7.87,2.21,"Private","Bedrock","76.2",1714.4
0,7.13,2.73,"Private","Bedrock","60.96",1980.28
0,8.08,0.72,"Private","Bedrock","*",495.66
1,8.07,0.55,"Private","Bedrock","48.768",1067.79
0,6.56,2.06,"Private","Bedrock","*",1312.44
0,7.73,2.29,"Private","Bedrock","92.354",3649.14
0,7.89,0.44,"Private","Bedrock","110.033",1632.66
0,8.52,0.24,"Private","Bedrock","98.45",2378.3
0,6.7,4,"Private","Bedrock","*",1582.48
0,7.29,2.46,"Private","Bedrock","*",1590.87
1,6.67,2.38,"Private","Bedrock","*",2552.87
1,9.19,2.67,"Private","Bedrock","182.88",2685.3
0,6.77,0.68,"Private","Bedrock","*",4671.88
0,8.1,0.42,"Private","Bedrock","*",2277.12
0,7.97,0.33,"Private","Bedrock","153.924",1584.78
0,8.21,1.83,"Private","Bedrock","68.58",2154.46
0,8.32,0.93,"Private","Bedrock","137.16",3438.3
0,8.3,0.5,"Private","Bedrock","*",1542.17
1,9.48,0.25,"Private","Bedrock","121.92",296.95
0,7.19,2.14,"Private","Bedrock","76.2",1348.52
0,7.06,4.88,"Private","Bedrock","54.864",582.1
0,5.58,2.86,"Private","Bedrock","47.244",384.69
0,8.33,0.18,"Private","Bedrock","153.924",898.79
1,7.24,0.39,"Private","Bedrock","115.824",2167.92
0,8.36,0.31,"Private","Bedrock","159.41",200.47
0,8.34,1.69,"Private","Bedrock","254.508",2806.03
0,7.97,0.8,"Private","Bedrock","*",2530.6
1,7.7,1.02,"Private","Bedrock","111.252",4902.19
1,5.62,3.13,"Private","Bedrock","*",1319.92
1,6.66,3.61,"Private","Bedrock","67.056",972.24
0,5.94,7.86,"Private","Bedrock","36.271",1129.44
0,8.02,5.78,"Private","Bedrock","114.3",1519.17
0,7.37,5.25,"Private","Bedrock","30.48",2527.29
0,5.83,5.98,"Private","Bedrock","91.44",3249.34
0,7.12,4.59,"Private","Bedrock","174.955",1849.1
0,6.65,3.88,"Private","Bedrock","*",1214.51
0,6.26,6.99,"Private","Bedrock","103.632",1579.3
0,6.42,6.98,"Private","Bedrock","53.34",4467.88
0,6.06,1,"Private","Bedrock","92.659",1728
0,6.43,2.18,"Private","Bedrock","91.44",2757.15
0,7.45,4.85,"Private","Bedrock","245.364",951.09
0,8.16,0.4,"Private","Bedrock","*",1351.95
0,7.31,1.56,"Private","Bedrock","*",1266.05
0,7.59,1.02,"Private","Bedrock","91.44",2624.08
1,7.51,0.49,"Private","Bedrock","*",1441.05
1,7.13,0.4,"Private","Bedrock","91.44",2407.7
0,8.09,0.43,"Private","Bedrock","121.92",747.75
0,8.33,0.44,"Private","Bedrock","121.92",1179.23
0,7.4,1.36,"Private","Bedrock","73.152",754.58
0,5.66,4.98,"Private","Bedrock","51.816",2694.44
1,8.36,0.27,"Private","Bedrock","36.576",3322.18
0,7.64,4.44,"Private","Bedrock","152.4",2224.19
0,8.39,0.56,"Private","Bedrock","128.321",2682.48
1,5.91,6.72,"Private","Bedrock","38.1",2944.24
1,8.26,2.7,"Private","Bedrock","243.84",1522.78
0,6.18,4.17,"Private","Bedrock","159.41",5180.58
0,6.72,0.78,"Private","Bedrock","85.344",3458.03
0,8.22,1.32,"Private","Bedrock","128.93",2762.89
0,7.97,0.44,"Private","Bedrock","*",365.9
0,6.59,6.29,"Private","Bedrock","18.898",784.06
1,8.24,3.27,"Private","Bedrock","91.44",1711.46
